Region,Year,Source,Sector,Subsector,TPM,PM10,PM2.5,SOX,NOX,VOC,CO,NH3,Pb,Cd,Hg,D/F,HCB,PAH
Canada,1990,Industrial Sources,Pulp and Paper Industry,all subsectors,152538,95732,60700,138659,72981,27283,178575,4538,2115,366.5,98.4,11.1,142.85,108.7
Canada,1990,Industrial Sources,Wood Industry,all subsectors,118278,60468,34933,3015,18551,108784,1081657,4785,3544.6,126.8,261.3,1.807,340.71,209.8
Canada,1990,Industrial Sources,Wood Industry,Sawmills,95793,49280,27480,1846,12728,84860,924591,2996,3003.8,95.9,225.9,1.5,325.07,178.7
Canada,1990,Industrial Sources,Wood Industry,Panel Board Mills,16074,7675,5383,816,4952,18046,131866,1565,458,17.9,35.5,0.307,10.308,27.7
Canada,1990,Industrial Sources,Wood Industry,Other Wood Products,6411,3513,2071,354,871,5878,25200,225,82.8,13,,,5.332,3.5
Canada,1990,Industrial Sources,Upstream Petroleum Industry,all subsectors,11464,10290,6670,403978,286613,466285,283231,287,140.7,24.9,3,,1.25,2.3
Canada,1990,Industrial Sources,Upstream Petroleum Industry,Crude Oil and Natural Gas Production and Processing,5644,5643,5643,251325,228714,435256,251835,173,,,,,,
Canada,1990,Industrial Sources,Upstream Petroleum Industry,Petroleum Liquids Storage,,,,,204,,,,,,,,,
Canada,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands In-Situ Extraction and Processing ,3003,2386,413,6003,13710,4131,12027,89,,5.2,1,,,
Canada,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands Mining Extraction and Processing ,11,12,12,,1587,1055,131,,8.9,11.1,,,1.25,0.3
Canada,1990,Industrial Sources,Upstream Petroleum Industry,Bitumen and Heavy Oil Upgrading ,2806,2249,601,146651,42398,25844,19239,25,131.8,8.6,2,,,2
Canada,1990,Industrial Sources,Downstream Petroleum Industry,all subsectors,9996,7823,5106,129815,34303,119448,20537,348,203.5,106.4,112.7,,,145.4
Canada,1990,Industrial Sources,Downstream Petroleum Industry,Petroleum Refining,7605,5906,3763,120777,31903,72340,19886,340,201.8,106.4,103.9,,,144.7
Canada,1990,Industrial Sources,Downstream Petroleum Industry,Refined Petroleum Products Bulk Storage and Distribution,407,280,167,4307,1139,41040,309,,1.7,,8,,,0.7
Canada,1990,Industrial Sources,Downstream Petroleum Industry,Other Downstream Petroleum Industry,1984,1637,1176,4731,1262,6068,342,8,,,0.8,,,
Canada,1990,Industrial Sources,Other Industries,all subsectors,25995,16814,11767,45525,52661,75507,46533,1009,31521.2,549.6,573,4.42,468.68,1.1
Canada,1990,Industrial Sources,Other Industries,Metal Fabrication,1997,1144,818,2300,5890,9284,8785,93,27687.1,466.6,16.1,4.129,459.927,1.1
Canada,1990,Industrial Sources,Other Industries,Glass Manufacture,1337,1035,919,2273,7047,1954,487,88,21.6,1.3,27.5,,,
Canada,1990,Industrial Sources,Other Industries,Vehicle Manufacture ( Engines; Parts; Assembly; Painting) ,3570,2641,1609,1128,2294,21412,3793,68,912.8,0.7,,0.29,8.753,
Canada,1990,Industrial Sources,Other Industries,Electronics,259,170,122,1664,149,1260,27,31,1985.7,,378.1,,,
Canada,1990,Industrial Sources,Other Industries,Plastics Manufacture,637,346,219,1607,1093,14416,258,36,75.8,5.2,,,,
Canada,1990,Industrial Sources,Other Industries,Food Preparation,4142,2267,1446,3503,2418,10161,1155,180,,,0.1,,,
Canada,1990,Industrial Sources,Other Industries,Textiles ,28,24,16,385,118,866,45,13,,,,,,
Canada,1990,Industrial Sources,Other Industries,Abrasives Manufacture,1342,569,393,3985,245,1542,608,1,,,,,,
Canada,1990,Industrial Sources,Other Industries,Bakeries,1,1,1,,4,3498,6,,,,,,,
Canada,1990,Industrial Sources,Other Industries,Other (Other Industries),12682,8618,6223,28682,33401,11115,31368,499,838.2,75.8,151,,,
Canada,1990,Industrial Sources,Petroleum Product Transportation and Distribution,all subsectors,586,591,577,537,23847,1782,30877,1,,,,,,
Canada,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Transmission,561,567,553,20,22808,1606,22299,1,,,,,,
Canada,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Distribution,13,13,13,517,539,169,373,,,,,,,
Canada,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Petroleum Product Pipelines,12,11,12,,500,7,8205,,,,,,,
Canada,1990,Industrial Sources,Biofuel Production,all subsectors,,,,,,,,,,,,,,
Canada,1990,Non-Industrial Sources,Commercial Fuel Combustion,all subsectors,2132,1924,1867,18666,23152,1049,15092,308,250.6,343.9,47.2,0.366,0.115,2.6
Canada,1990,Non-Industrial Sources,Electric Power Generation (Utilities),all subsectors,90191,66191,48316,618360,253061,2424,48832,708,11273.8,129.7,2247.5,3,10998.6,365.8
Canada,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Coal,83026,62126,45707,515025,206179,1331,40935,66,8263,87.2,1946.8,2.306,10363.17,235.6
Canada,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Natural Gas,3750,2205,1077,28960,16322,391,3121,264,428.2,28.9,11.3,0.463,635.43,2.9
Canada,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Other (EPG),3415,1860,1532,74375,30560,703,4777,378,2582.7,13.7,289.4,0.231,,127.3
Canada,1990,Non-Industrial Sources,Residential Fuel Combustion,all subsectors,3553,2632,2384,27802,34539,1538,12507,688,487.8,544.8,64.1,1.452,1.471,5.3
Canada,1990,Non-Industrial Sources,Residential Fuel Wood Combustion,all subsectors,277354,262404,262087,3610,25267,356469,1660391,2274,3520.7,198.5,53.6,9.024,,136308.8
Canada,1990,Mobile Sources,Air Transportation,all subsectors,721,721,638,5280,51779,5158,59801,29,78042,,,,,12.6
Canada,1990,Mobile Sources,Heavy-duty diesel vehicles,all subsectors,31062,31062,30130,45989,262708,30196,98215,244,,,,2.5,,834.8
Canada,1990,Mobile Sources,Heavy-duty gasoline trucks,all subsectors,3650,3650,3358,1682,93607,135619,1848483,836,,,,0.049,,1818
Canada,1990,Mobile Sources,Light-duty diesel trucks,all subsectors,532,532,517,527,2796,446,1649,9,,,,0.358,,55.5
Canada,1990,Mobile Sources,Light-duty diesel vehicles,all subsectors,745,745,723,777,983,300,816,6,,,,0.229,,44.7
Canada,1990,Mobile Sources,Light-duty gasoline trucks,all subsectors,4514,4514,4153,3885,224030,150032,1552498,1361,,,,0.067,,601.3
Canada,1990,Mobile Sources,Light-duty gasoline vehicles,all subsectors,9606,9606,8838,10775,479120,397042,3917725,4354,,,,0.218,,600.9
Canada,1990,Mobile Sources,Marine Transportation,all subsectors,11027,10585,9739,80414,139794,12257,12621,162,597.9,194.1,4.3,19.935,,119.6
Canada,1990,Mobile Sources,Motorcycles,all subsectors,17,17,16,26,433,1737,11714,7,,,,0.002,,4.6
Canada,1990,Mobile Sources,Off-road use of diesel,all subsectors,46363,46363,45436,28216,369424,57754,239046,190,,,,,,0.1
Canada,1990,Mobile Sources,Off-road use of gasoline/LPG/CNG,all subsectors,30915,29741,27948,3013,66661,1601033,4702127,368,,,,,,3.5
Canada,1990,Mobile Sources,Rail Transportation,all subsectors,3694,3694,3583,5708,164996,6760,16317,51,310.3,103.4,103.4,1.249,,62.8
Canada,1990,Mobile Sources,Tire wear & Brake Lining,all subsectors,4650,4650,1138,,,,,,,,,,,
Canada,1990,Incineration Sources,Crematorium,all subsectors,5,3,4,5,8,1,7,,2,0.3,100.3,1.142,10.077,
Canada,1990,Incineration Sources,Industrial & Commercial Incineration,all subsectors,33,25,17,39,62,5,31,,,196,111,9,21,
Canada,1990,Incineration Sources,Municipal Incineration,all subsectors,1833,1742,1677,1012,1036,4013,9542,63,73.9,376.4,573.9,187,67996.7,
Canada,1990,Incineration Sources,Other Incineration & Utilities,all subsectors,73,7,2,1030,246,90,1207,29,125.1,6443.5,383.2,130.3,,1.5
Canada,1990,Miscellaneous Sources,Cigarette Smoking,all subsectors,809,809,809,,,13,3828,115,2.3,6,0.2,0.019,,1
Canada,1990,Miscellaneous Sources,Dry Cleaning,all subsectors,1,1,,,1,745,1,,,,,,,
Canada,1990,Miscellaneous Sources,General Solvent Use,all subsectors,,,,,,189081,,,,,,,,
Canada,1990,Miscellaneous Sources,Marine Cargo Handling Industry,all subsectors,1177,612,183,,,,,,2019.1,,,,,
Canada,1990,Miscellaneous Sources,Meat Cooking,all subsectors,6808,6808,6808,,,,,,,,,,,2.6
Canada,1990,Miscellaneous Sources,Refined Petroleum Products Retail,all subsectors,,,,,,34833,,,,,,,,
Canada,1990,Miscellaneous Sources,Printing,all subsectors,5,3,3,2,114,36931,22,14,4.3,1,,,,
Canada,1990,Miscellaneous Sources,Structural Fires,all subsectors,379,379,351,,49,386,2106,22,,,,,,
Canada,1990,Miscellaneous Sources,Surface Coatings,all subsectors,3,3,,,,130788,,,,,,,,
Canada,1990,Miscellaneous Sources,Human,all subsectors,,,,,,,,465,,,110,,,
Canada,1990,Miscellaneous Sources,Other Miscellaneous Sources,all subsectors,,,,,,,,21,,,865.6,2,,
Canada,1990,Open Sources,Agriculture,all subsectors,6575933,2333373,654237,2174,2085,222369,632,358815,29.8,51,2.8,0.058,,0.3
