Region,Year,Source,Sector,Subsector,TPM,PM10,PM2.5,SOX,NOX,VOC,CO,NH3,Pb,Cd,Hg,D/F,HCB,PAH
Canada,1996,Industrial Sources,Other Industries,Glass Manufacture,1366,1252,1077,2545,8173,2204,492,100,6.5,1.1,27.1,,,
Canada,1996,Industrial Sources,Other Industries,Vehicle Manufacture ( Engines; Parts; Assembly; Painting) ,3164,2237,1386,1262,2749,19208,1374,105,273.5,0.6,,0.382,11.531,
Canada,1996,Industrial Sources,Other Industries,Electronics,240,163,123,2421,200,482,58,47,594.9,,378,,,
Canada,1996,Industrial Sources,Other Industries,Plastics Manufacture,485,303,187,1143,990,15457,343,17,22.7,4.5,,,,
Canada,1996,Industrial Sources,Other Industries,Food Preparation,5000,2897,1840,4766,2925,13566,1336,251,,,0.1,,,
Canada,1996,Industrial Sources,Other Industries,Textiles ,34,29,18,371,142,1552,65,21,0.3,,,,,
Canada,1996,Industrial Sources,Other Industries,Abrasives Manufacture,1009,410,293,3255,202,1346,499,1,,,,,,
Canada,1996,Industrial Sources,Other Industries,Bakeries,1,1,1,,4,4495,6,,,,,,,
Canada,1996,Industrial Sources,Other Industries,Other (Other Industries),14683,10585,7752,34317,30175,16427,46566,377,251.1,65.1,158.1,,,
Canada,1996,Industrial Sources,Petroleum Product Transportation and Distribution,all subsectors,559,569,546,1779,36504,2396,13959,2,,,,,,
Canada,1996,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Transmission,525,536,512,1186,35020,2105,13392,2,,,,,,
Canada,1996,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Distribution,25,25,25,593,1004,284,525,,,,,,,
Canada,1996,Industrial Sources,Petroleum Product Transportation and Distribution,Petroleum Product Pipelines,9,9,9,,480,7,42,,,,,,,
Canada,1996,Industrial Sources,Biofuel Production,all subsectors,,,,,,,,,,,,,,
Canada,1996,Non-Industrial Sources,Commercial Fuel Combustion,all subsectors,2881,2513,2265,12413,26419,1222,17310,312,248.3,469.7,52.7,0.332,,2.8
Canada,1996,Non-Industrial Sources,Electric Power Generation (Utilities),all subsectors,82030,38089,18823,542139,264129,3588,32370,957,11840.4,139.6,2094.5,5.12,10474.11,378.2
Canada,1996,Non-Industrial Sources,Electric Power Generation (Utilities),Coal,77762,35315,16528,465651,208169,1582,15037,68,8678.2,93.8,2054.6,3.936,9868.982,247.4
Canada,1996,Non-Industrial Sources,Electric Power Generation (Utilities),Natural Gas,2011,1242,925,14140,23590,820,5946,198,449.7,31.1,5.1,0.79,605.128,2.8
Canada,1996,Non-Industrial Sources,Electric Power Generation (Utilities),Other (EPG),2257,1532,1370,62348,32370,1186,11387,691,2712.4,14.7,34.8,0.394,,128
Canada,1996,Non-Industrial Sources,Residential Fuel Combustion,all subsectors,3321,2839,2682,15187,38496,1817,14309,641,450.6,561.2,77.9,0.645,,5.1
Canada,1996,Non-Industrial Sources,Residential Fuel Wood Combustion,all subsectors,262473,248313,248016,3423,23959,338405,1573783,2156,3339.1,188.2,50.8,8.557,,129369
Canada,1996,Mobile Sources,Air Transportation,all subsectors,795,795,705,5864,59194,5048,48819,32,57014.7,,,,,9.6
Canada,1996,Mobile Sources,Heavy-duty diesel vehicles,all subsectors,21027,21027,20396,27429,281794,19559,75290,304,,,,3.114,,573.9
Canada,1996,Mobile Sources,Heavy-duty gasoline trucks,all subsectors,1553,1553,1429,1232,47754,46796,627234,544,,,,0.032,,753.5
Canada,1996,Mobile Sources,Light-duty diesel trucks,all subsectors,558,558,541,371,3590,648,2355,13,,,,0.542,,58.6
Canada,1996,Mobile Sources,Light-duty diesel vehicles,all subsectors,393,393,381,326,780,248,707,5,,,,0.2,,23
Canada,1996,Mobile Sources,Light-duty gasoline trucks,all subsectors,3952,3952,3636,5863,191714,136014,1589562,2714,,,,0.088,,462
Canada,1996,Mobile Sources,Light-duty gasoline vehicles,all subsectors,7170,7170,6596,10415,305582,262168,2784372,6438,,,,0.206,,463.6
Canada,1996,Mobile Sources,Marine Transportation,all subsectors,13343,12809,11785,97946,165502,11508,14852,193,676.7,241.4,5.4,22.565,,135.4
Canada,1996,Mobile Sources,Motorcycles,all subsectors,13,13,12,21,315,1370,9068,5,,,,0.001,,3.5
Canada,1996,Mobile Sources,Off-road use of diesel,all subsectors,52978,52978,51919,17890,440317,67038,297990,241,,,,,,0.1
Canada,1996,Mobile Sources,Off-road use of gasoline/LPG/CNG,all subsectors,24629,23693,22265,3253,52336,1266995,3899916,285,,,,,,2.8
Canada,1996,Mobile Sources,Rail Transportation,all subsectors,3268,3268,3170,5050,145961,5982,14435,45,274.5,91.5,91.5,1.105,,55.6
Canada,1996,Mobile Sources,Tire wear & Brake Lining,all subsectors,4868,4868,1191,,,,,,,,,,,
Canada,1996,Incineration Sources,Crematorium,all subsectors,5,5,5,6,10,1,8,,2.5,0.4,122.7,1.398,12.336,
Canada,1996,Incineration Sources,Industrial & Commercial Incineration,all subsectors,33,26,18,31,54,4,14,,,79.6,125.3,8.153,21,
Canada,1996,Incineration Sources,Municipal Incineration,all subsectors,1948,1829,1805,812,1020,3950,8058,65,11.9,225.3,652.3,129.431,50725.37,
Canada,1996,Incineration Sources,Other Incineration & Utilities,all subsectors,73,7,2,1030,246,90,1207,29,149.1,2619.3,274.1,36.995,,1.7
Canada,1996,Miscellaneous Sources,Cigarette Smoking,all subsectors,809,809,809,,,13,3828,121,2.3,6,0.2,0.019,,1
Canada,1996,Miscellaneous Sources,Dry Cleaning,all subsectors,1,1,,,1,745,1,,,,,,,
Canada,1996,Miscellaneous Sources,General Solvent Use,all subsectors,,,,,,230914,,,,,,,,
Canada,1996,Miscellaneous Sources,Marine Cargo Handling Industry,all subsectors,869,446,131,,,1,,,3679,,,,,
Canada,1996,Miscellaneous Sources,Meat Cooking,all subsectors,7318,7318,7318,,,,,,,,,,,2.6
Canada,1996,Miscellaneous Sources,Refined Petroleum Products Retail,all subsectors,,,,,,28972,,,,,,,,
Canada,1996,Miscellaneous Sources,Printing,all subsectors,22,11,10,1,107,37922,23,14,5.4,1,,,,
Canada,1996,Miscellaneous Sources,Structural Fires,all subsectors,336,336,311,,43,342,1864,20,,,,,,
Canada,1996,Miscellaneous Sources,Surface Coatings,all subsectors,3,3,,,,103426,,,,,,,,
Canada,1996,Miscellaneous Sources,Human,all subsectors,,,,,,,,497,,,76.2,,,
Canada,1996,Miscellaneous Sources,Other Miscellaneous Sources,all subsectors,,,,,,,,21,,,715.6,2,,
Canada,1996,Open Sources,Agriculture,all subsectors,5883784,2124563,584988,1548,2536,265474,761,418199,37.1,64.6,3.2,0.074,,0.4
Canada,1996,Open Sources,Agriculture,Animals Production,31670,9407,1968,,,265377,,319900,,,,,,
Canada,1996,Open Sources,Agriculture,Crop Production,5841122,2109711,581366,,,,,,,,,,,
Canada,1996,Open Sources,Agriculture,Fertilizer Application,10769,5277,1508,,,,,98244,,,,,,
Canada,1996,Open Sources,Agriculture,Agriculture - Fuel Combustion,223,168,146,1548,2536,96,761,55,37.1,64.6,3.2,0.074,,0.4
Canada,1996,Open Sources,Construction Operation,all subsectors,3853628,1156178,231324,702,2407,42,428,46,5.7,7.2,1.7,0.041,,0.2
Canada,1996,Open Sources,Dust from Paved Roads,all subsectors,2567918,492185,117754,,,,,,,,,,,
Canada,1996,Open Sources,Dust from Unpaved Roads,all subsectors,6070803,1927187,287054,,,,,,,,,,,
Canada,1996,Open Sources,Dust from Coal Transportation,all subsectors,1055,528,114,,,,,,,,,,,
Canada,1996,Open Sources,Waste,all subsectors,7152,3651,3134,1081,7143,17030,24193,5677,,,1482.3,18.846,4463.575,657.4
Canada,1996,Open Sources,Waste,Landfills,4673,1326,834,134,843,11964,10910,10,,,567.1,,,
Canada,1996,Open Sources,Waste,Water and Sewage Treatment,351,209,197,655,4775,978,1690,5519,,,535.2,0.014,0.471,
Canada,1996,Open Sources,Waste,Energy from Waste,28,25,17,150,656,17,284,63,,,69,0.002,3.7,
Canada,1996,Open Sources,Waste,Open Burning,2077,2077,2077,130,779,3895,10906,83,,,303.7,18.83,4459.404,657.4
Canada,1996,Open Sources,Waste,Waste Treatment and Disposal,22,13,8,12,90,176,404,2,,,7.3,,,
Canada,1996,Open Sources,Mine Tailings,all subsectors,60521,4842,1210,,,,,,,,,,,
Canada,1996,Open Sources,Prescribed Burning,all subsectors,37150,29968,26044,127,4956,27949,316395,650,,,,5.106,,6586.4
Canada,1997,Industrial Sources,Aluminum Industry,all subsectors,13927,7961,5101,52010,1649,1096,245295,31,84.2,0.9,26.9,3.444,,86170.5
Canada,1997,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),601,407,279,2444,819,10,153,24,,,8.3,,,
Canada,1997,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,13322,7551,4818,49556,814,1086,245139,6,84.2,0.9,18.6,,,86170.5
Canada,1997,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),3,3,3,9,16,,3,2,,,,3.444,,
Canada,1997,Industrial Sources,Asphalt Paving Industry,all subsectors,42531,8595,1850,964,1543,7125,4569,1,1342.6,26.2,24.1,0.019,,15
Canada,1997,Industrial Sources,Cement and Concrete Industry,all subsectors,53149,19192,9380,37750,46394,933,19311,608,572.7,45.2,446,3,2145.47,19.3
Canada,1997,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,16103,7560,3571,34400,42761,830,13617,567,477,40.7,318.3,3,2145.47,19.3
Canada,1997,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,1580,703,460,3141,3170,23,5109,41,6.2,3.6,127.7,,,
Canada,1997,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,35467,10928,5349,210,463,80,584,1,89.6,0.8,,,,
Canada,1997,Industrial Sources,Chemicals Industry,all subsectors,16339,8122,4510,32434,40365,39357,29911,12122,414.3,185.9,37.3,1.704,689.92,15
Canada,1997,Industrial Sources,Chemicals Industry,Chemical Manufacture,4409,2326,1438,22981,13672,6293,18599,2056,63.8,60.3,35.2,1.702,681.844,15
Canada,1997,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,113,98,61,,42,6828,12,3,346.1,,,,,
Canada,1997,Industrial Sources,Chemicals Industry,Petrochemical Industry,998,867,647,669,13429,17376,4111,77,4.2,123.6,0.7,,,
Canada,1997,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,143,121,62,2918,1933,7498,1061,104,0.1,2,1.4,0.002,8.076,
Canada,1997,Industrial Sources,Chemicals Industry,Fertilizer Production,5058,3451,1850,3064,9544,647,4032,9870,,,,,,
Canada,1997,Industrial Sources,Chemicals Industry,Other (Chemical Industries),5619,1259,452,2802,1744,717,2096,12,,,,,,
Canada,1997,Industrial Sources,Mineral Products Industry,all subsectors,3195,1679,990,1509,947,330,3388,99,,,,1.026,,
Canada,1997,Industrial Sources,Mineral Products Industry,Clay Products,892,435,238,342,108,7,220,41,,,,,,
Canada,1997,Industrial Sources,Mineral Products Industry,Brick Products,40,34,3,102,4,,,,,,,,,
Canada,1997,Industrial Sources,Mineral Products Industry,Other Mineral Products,2263,1210,749,1065,835,322,3168,58,,,,1.026,,
Canada,1997,Industrial Sources,Foundries,all subsectors,7545,6089,5687,1064,567,1047,51449,13,2704,1.8,164.3,,,
Canada,1997,Industrial Sources,Foundries,Ferrous Foundries,6571,6027,5639,900,475,837,51325,12,,,164.3,,,
Canada,1997,Industrial Sources,Foundries,Non-ferrous Foundries,70,47,35,164,69,156,60,1,2704,1.8,,,,
Canada,1997,Industrial Sources,Foundries,Die Casting,904,15,13,,23,54,64,,,,,,,
Canada,1997,Industrial Sources,Grain Industries,all subsectors,90722,16989,2779,214,1341,2094,2328,6,,,,,,
Canada,1997,Industrial Sources,Iron and Steel Industries,all subsectors,27358,13830,11103,40651,19760,4851,50433,229,46827.3,238.5,562.2,36.1,1201.86,19293.3
Canada,1997,Industrial Sources,Iron and Steel Industries,Primary (Blast furnace and DRI),21899,10924,8781,38765,16152,3764,38823,128,28150.9,188,133.2,19.543,137.866,19293.3
Canada,1997,Industrial Sources,Iron and Steel Industries,Secondary (Electric Arc Furnaces),5443,2899,2317,1885,3594,1025,11448,101,18676.3,50.4,410.2,16.557,1063.994,
Canada,1997,Industrial Sources,Iron and Steel Industries,Steel Recycling,16,8,5,1,14,61,162,,,,18.8,,,
Canada,1997,Industrial Sources,Iron and Steel Industries,Other (Iron and Steel Industries),,,,,,,,,,,,,,
Canada,1997,Industrial Sources,Iron Ore Mining Industry,all subsectors,18313,9326,4461,56630,10348,2133,26254,157,,,60.1,,,
Canada,1997,Industrial Sources,Iron Ore Mining Industry,Iron Ore Mining Industry,7856,2337,932,39451,5072,794,24616,6,,,0.1,,,
Canada,1997,Industrial Sources,Iron Ore Mining Industry,Pelletizing,10457,6989,3528,17179,5276,1340,1638,150,,,60,,,
Canada,1997,Industrial Sources,Mining and Rock Quarrying,all subsectors,189555,34781,13141,20824,25239,3385,14441,507,51912.7,338.3,12,,13.15,0.4
Canada,1997,Industrial Sources,Mining and Rock Quarrying,Rock; Sand and Gravel,75986,11324,2399,29,319,14,165,23,,,,,,
Canada,1997,Industrial Sources,Mining and Rock Quarrying,Metal Mining ,68177,5899,1300,14291,13660,568,9875,190,51028.1,338.3,12,,5.065,
Canada,1997,Industrial Sources,Mining and Rock Quarrying,Coal Mining Industry,16312,8560,4430,4948,3268,1807,164,13,,,,,,0.4
Canada,1997,Industrial Sources,Mining and Rock Quarrying,Potash,3859,1897,1647,151,1828,617,1820,2,,,,,,
Canada,1997,Industrial Sources,Mining and Rock Quarrying,Silica Production,1417,139,41,,,,,,,,,,,
Canada,1997,Industrial Sources,Mining and Rock Quarrying,Other Minerals,23804,6963,3325,1406,6165,379,2416,279,884.6,,,,8.085,
Canada,1997,Industrial Sources,Non-Ferrous Smelting and Refining Industry,all subsectors,16214,12916,6755,821110,3843,34,276,238,593665.6,41034,3391.4,3.38,2659.18,2.4
Canada,1997,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Primary Ni; Cu; Zn; Pb,15539,12271,6273,820822,3591,27,197,226,592366,41034,3243.2,3.33,2659.18,
Canada,1997,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Secondary Pb; Cu,51,51,47,287,10,1,9,,1299.6,,,0.05,,2.4
Canada,1997,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Other metals,624,594,435,1,242,6,70,11,,,148.2,,,
Canada,1997,Industrial Sources,Pulp and Paper Industry,all subsectors,64028,43597,32553,76861,54296,26125,159385,3294,1578.7,360.7,129.6,11.1,147.64,118.8
Canada,1997,Industrial Sources,Wood Industry,all subsectors,102371,52696,31784,3228,22254,108967,945366,4459,3030.9,128.8,226.3,1.817,373.66,180.4
Canada,1997,Industrial Sources,Wood Industry,Sawmills,80469,41676,24561,2024,12926,76964,802979,2701,2562.4,90.6,195.1,1.423,356.508,153.1
Canada,1997,Industrial Sources,Wood Industry,Panel Board Mills,16574,8103,5597,842,8342,25154,117351,1550,377.5,21.2,31.2,0.394,11.305,23.5
Canada,1997,Industrial Sources,Wood Industry,Other Wood Products,5327,2918,1626,362,986,6850,25037,208,91,16.9,,,5.848,3.7
Canada,1997,Industrial Sources,Upstream Petroleum Industry,all subsectors,12646,11416,9011,389480,417324,582420,431039,1203,201.8,35.7,26.8,,1.3,3.3
Canada,1997,Industrial Sources,Upstream Petroleum Industry,Crude Oil and Natural Gas Production and Processing,7471,7470,7470,286369,361919,540760,395479,266,,,,,,
Canada,1997,Industrial Sources,Upstream Petroleum Industry,Petroleum Liquids Storage,,,,,204,,,,,,,,,
Canada,1997,Industrial Sources,Upstream Petroleum Industry,Oil Sands In-Situ Extraction and Processing ,1094,664,652,2902,11217,7465,5627,916,,7.5,4,,,
Canada,1997,Industrial Sources,Upstream Petroleum Industry,Oil Sands Mining Extraction and Processing ,16,18,17,,1587,1341,202,,12.7,15.9,,,1.3,0.4
Canada,1997,Industrial Sources,Upstream Petroleum Industry,Bitumen and Heavy Oil Upgrading ,4065,3264,871,100210,42398,32854,29731,21,189.1,12.3,22.8,,,2.9
Canada,1997,Industrial Sources,Downstream Petroleum Industry,all subsectors,10204,7704,5016,157616,28621,82471,24371,287,62.1,140.5,72.6,,,173
Canada,1997,Industrial Sources,Downstream Petroleum Industry,Petroleum Refining,7854,5809,3691,147772,26531,42357,23911,279,61.6,140.5,68.5,,,172.3
Canada,1997,Industrial Sources,Downstream Petroleum Industry,Refined Petroleum Products Bulk Storage and Distribution,366,258,149,6033,1433,38288,179,,0.5,,3.5,,,0.7
Canada,1997,Industrial Sources,Downstream Petroleum Industry,Other Downstream Petroleum Industry,1984,1637,1176,3811,658,1825,281,8,,,0.6,,,
Canada,1997,Industrial Sources,Other Industries,all subsectors,29165,20082,14271,47522,54744,88624,66449,1123,9625.1,382.9,582.7,5.52,585.39,1
Canada,1997,Industrial Sources,Other Industries,Metal Fabrication,2103,1464,1055,2262,7672,12691,10344,149,8454,325,17.1,5.158,574.457,1
Canada,1997,Industrial Sources,Other Industries,Glass Manufacture,1411,1341,1209,2926,9305,2352,500,104,6.6,0.9,28.1,,,
Canada,1997,Industrial Sources,Other Industries,Vehicle Manufacture ( Engines; Parts; Assembly; Painting) ,3242,2301,1393,1307,2997,19120,1990,122,278.7,0.5,,0.362,10.933,
Canada,1997,Industrial Sources,Other Industries,Electronics,252,170,129,2463,173,469,33,50,606.3,,378,,,
Canada,1997,Industrial Sources,Other Industries,Plastics Manufacture,507,331,194,1104,1014,15992,348,18,23.2,3.6,,,,
Canada,1997,Industrial Sources,Other Industries,Food Preparation,5555,3214,2075,5027,2948,12769,1361,273,,,0.1,,,
Canada,1997,Industrial Sources,Other Industries,Textiles ,35,30,20,362,153,1534,69,23,0.3,,,,,
Canada,1997,Industrial Sources,Other Industries,Abrasives Manufacture,955,377,286,3215,182,1190,453,1,,,,,,
Canada,1997,Industrial Sources,Other Industries,Bakeries,1,1,1,,4,4514,6,,,,,,,
Canada,1997,Industrial Sources,Other Industries,Other (Other Industries),15102,10853,7909,28856,30296,17992,51344,383,255.9,52.8,159.3,,,
Canada,1997,Industrial Sources,Petroleum Product Transportation and Distribution,all subsectors,590,764,583,2023,37763,2693,13969,3,,,,,,
Canada,1997,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Transmission,558,729,548,1387,36193,2401,13569,3,,,,,,
Canada,1997,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Distribution,26,27,27,635,1209,291,389,,,,,,,
Canada,1997,Industrial Sources,Petroleum Product Transportation and Distribution,Petroleum Product Pipelines,6,8,8,,361,1,11,,,,,,,
Canada,1997,Industrial Sources,Biofuel Production,all subsectors,,,,,,,,,,,,,,
Canada,1997,Non-Industrial Sources,Commercial Fuel Combustion,all subsectors,2998,2593,2302,13642,27126,1244,17410,315,257.1,499,53.8,0.344,,2.9
Canada,1997,Non-Industrial Sources,Electric Power Generation (Utilities),all subsectors,89465,41778,19948,591318,281637,3782,34117,1099,12712.2,136.8,2244.6,5,10228.09,351.8
Canada,1997,Non-Industrial Sources,Electric Power Generation (Utilities),Coal,85055,38898,17546,510757,222943,1603,16302,84,9317.2,91.9,2193.6,3.844,9637.175,234.3
Canada,1997,Non-Industrial Sources,Electric Power Generation (Utilities),Natural Gas,1927,1212,923,15942,24585,972,6520,241,482.8,30.5,2.9,0.771,590.915,2.3
Canada,1997,Non-Industrial Sources,Electric Power Generation (Utilities),Other (EPG),2483,1669,1479,64619,34108,1206,11296,775,2912.2,14.4,48.1,0.385,,115.2
Canada,1997,Non-Industrial Sources,Residential Fuel Combustion,all subsectors,3110,2656,2500,13890,35884,1694,13311,594,419.5,525.1,72.7,0.598,,4.8
Canada,1997,Non-Industrial Sources,Residential Fuel Wood Combustion,all subsectors,248463,235028,234757,3284,22985,322592,1502707,2069,3199,180.6,48.7,8.209,,124298.4
Canada,1997,Mobile Sources,Air Transportation,all subsectors,808,808,720,6013,61361,5039,45034,32,53696.9,,,,,9.6
Canada,1997,Mobile Sources,Heavy-duty diesel vehicles,all subsectors,19900,19900,19303,27529,295152,18758,73037,321,,,,3.289,,544.3
Canada,1997,Mobile Sources,Heavy-duty gasoline trucks,all subsectors,1456,1456,1340,1294,45756,43481,568343,534,,,,0.032,,690.3
Canada,1997,Mobile Sources,Light-duty diesel trucks,all subsectors,557,557,541,390,3708,676,2440,14,,,,0.582,,58.4
Canada,1997,Mobile Sources,Light-duty diesel vehicles,all subsectors,373,373,362,317,778,246,714,5,,,,0.202,,21.8
Canada,1997,Mobile Sources,Light-duty gasoline trucks,all subsectors,4104,4104,3776,6804,191288,132763,1591665,3100,,,,0.097,,457.8
Canada,1997,Mobile Sources,Light-duty gasoline vehicles,all subsectors,7296,7296,6712,11045,289632,241024,2594201,6777,,,,0.208,,458.8
Canada,1997,Mobile Sources,Marine Transportation,all subsectors,13773,13222,12164,101087,170805,12036,15307,200,692.6,250,5.6,23.094,,138.6
Canada,1997,Mobile Sources,Motorcycles,all subsectors,14,14,13,23,330,1453,9566,6,,,,0.001,,3.7
Canada,1997,Mobile Sources,Off-road use of diesel,all subsectors,54794,54794,53698,18610,453217,68717,306145,253,,,,,,0.1
Canada,1997,Mobile Sources,Off-road use of gasoline/LPG/CNG,all subsectors,22489,21635,20330,3199,48109,1147865,3586814,258,,,,,,2.5
Canada,1997,Mobile Sources,Rail Transportation,all subsectors,3313,3313,3213,5121,148056,6027,14630,46,278.3,92.8,92.8,1.12,,56.3
Canada,1997,Mobile Sources,Tire wear & Brake Lining,all subsectors,5079,5079,1243,,,,,,,,,,,
Canada,1997,Incineration Sources,Crematorium,all subsectors,6,5,5,6,10,1,9,,2.6,0.4,127.3,1.45,12.791,
Canada,1997,Incineration Sources,Industrial & Commercial Incineration,all subsectors,34,28,18,26,46,4,9,,,60.2,120.5,8,21,
Canada,1997,Incineration Sources,Municipal Incineration,all subsectors,1947,1804,1777,818,1044,3960,8240,66,11.9,200.1,473.7,127,49772.6,
Canada,1997,Incineration Sources,Other Incineration & Utilities,all subsectors,73,7,2,1029,246,90,1207,29,132.1,1981.9,258.3,36.3,,1.7
Canada,1997,Miscellaneous Sources,Cigarette Smoking,all subsectors,819,819,819,,,14,3874,122,2.3,6,0.2,0.019,,1.1
Canada,1997,Miscellaneous Sources,Dry Cleaning,all subsectors,1,1,,,1,745,1,,,,,,,
Canada,1997,Miscellaneous Sources,General Solvent Use,all subsectors,,,,,,234497,,,,,,,,
Canada,1997,Miscellaneous Sources,Marine Cargo Handling Industry,all subsectors,898,463,137,,,1,,,2183,,,,,
Canada,1997,Miscellaneous Sources,Meat Cooking,all subsectors,7458,7458,7458,,,,,,,,,,,2.6
Canada,1997,Miscellaneous Sources,Refined Petroleum Products Retail,all subsectors,,,,,,30326,,,,,,,,
Canada,1997,Miscellaneous Sources,Printing,all subsectors,19,10,9,2,119,40801,61,14,5.6,1,,,,
Canada,1997,Miscellaneous Sources,Structural Fires,all subsectors,311,311,288,,40,317,1728,18,,,,,,
Canada,1997,Miscellaneous Sources,Surface Coatings,all subsectors,3,3,,,,98871,,,,,,,,
Canada,1997,Miscellaneous Sources,Human,all subsectors,,,,,,,,502,,,38.6,,,
Canada,1997,Miscellaneous Sources,Other Miscellaneous Sources,all subsectors,,,,,,,,21,,,604.5,2,,
Canada,1997,Open Sources,Agriculture,all subsectors,5761952,2094242,572833,1410,2524,264212,754,424608,36.2,67.3,3.1,0.075,,0.4
Canada,1997,Open Sources,Agriculture,Animals Production,32174,9488,1982,,,264116,,321120,,,,,,
Canada,1997,Open Sources,Agriculture,Crop Production,5718132,2078989,569107,,,,,,,,,,,
Canada,1997,Open Sources,Agriculture,Fertilizer Application,11432,5601,1601,,,,,103433,,,,,,
Canada,1997,Open Sources,Agriculture,Agriculture - Fuel Combustion,215,163,144,1410,2524,96,754,55,36.2,67.3,3.1,0.075,,0.4
Canada,1997,Open Sources,Construction Operation,all subsectors,4773642,1432180,286522,676,2367,41,421,46,5.7,7.1,1.7,0.042,,0.3
Canada,1997,Open Sources,Dust from Paved Roads,all subsectors,2663880,510578,122154,,,,,,,,,,,
Canada,1997,Open Sources,Dust from Unpaved Roads,all subsectors,6447492,2044222,304603,,,,,,,,,,,
Canada,1997,Open Sources,Dust from Coal Transportation,all subsectors,1631,815,173,,,,,,,,,,,
Canada,1997,Open Sources,Waste,all subsectors,6890,3499,3005,1114,7278,17469,22325,5705,,,1222,18.666,4424.972,651.7
Canada,1997,Open Sources,Waste,Landfills,4400,1171,709,134,832,12446,9423,10,,,576,,,
Canada,1997,Open Sources,Waste,Water and Sewage Treatment,364,216,199,687,4772,963,1310,5548,,,289.9,0.014,0.462,
Canada,1997,Open Sources,Waste,Energy from Waste,43,39,29,153,812,21,380,63,,,69,0.002,3.6,
Canada,1997,Open Sources,Waste,Open Burning,2059,2059,2059,129,772,3862,10812,82,,,277.3,18.65,4420.91,651.7
Canada,1997,Open Sources,Waste,Waste Treatment and Disposal,23,14,8,12,90,178,399,2,,,9.7,,,
Canada,1997,Open Sources,Mine Tailings,all subsectors,60521,4842,1210,,,,,,,,,,,
Canada,1997,Open Sources,Prescribed Burning,all subsectors,18051,14073,12582,65,2645,15389,151540,412,,,,2.662,,3433.5
Canada,1998,Industrial Sources,Aluminum Industry,all subsectors,13384,8037,4973,51036,1547,1133,241943,32,84.2,0.9,31.1,3.409,,85526.5
Canada,1998,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),619,410,262,2367,760,14,226,24,,,9.8,,,
Canada,1998,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,12760,7623,4707,48659,767,1118,241713,6,84.2,0.9,21.3,,,85526.5
Canada,1998,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),4,4,4,10,19,,4,2,,,,3.409,,
Canada,1998,Industrial Sources,Asphalt Paving Industry,all subsectors,47598,9574,2028,920,1446,7727,4868,1,1418.6,27.5,25.5,0.019,,16
Canada,1998,Industrial Sources,Cement and Concrete Industry,all subsectors,53099,19604,9336,39204,45857,902,20296,618,570.3,43.4,446.6,3,1868.17,15.1
Canada,1998,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,16036,7938,3488,35934,42079,799,14202,567,474.7,39.1,319.7,3,1868.17,15.1
Canada,1998,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,1644,757,501,3035,3240,22,5492,50,6.1,3.5,126.9,,,
Canada,1998,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,35419,10910,5348,236,538,81,601,1,89.5,0.8,,,,
Canada,1998,Industrial Sources,Chemicals Industry,all subsectors,15792,8027,4467,33111,42307,37734,29582,12379,392.3,181.9,89.2,0.88,698.73,15
Canada,1998,Industrial Sources,Chemicals Industry,Chemical Manufacture,4927,2473,1488,24261,14025,5799,18823,1854,60.5,59,87.2,0.879,690.551,15
Canada,1998,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,112,98,61,,46,7026,11,3,327.8,,,,,
Canada,1998,Industrial Sources,Chemicals Industry,Petrochemical Industry,994,867,630,621,13212,17131,3873,77,4,121,0.7,,,
Canada,1998,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,127,104,58,2876,1920,6323,993,102,0.1,1.9,1.4,0.001,8.179,
Canada,1998,Industrial Sources,Chemicals Industry,Fertilizer Production,4901,3408,1842,3009,11622,695,3920,10329,,,,,,
Canada,1998,Industrial Sources,Chemicals Industry,Other (Chemical Industries),4731,1077,388,2344,1483,760,1962,12,,,,,,
Canada,1998,Industrial Sources,Mineral Products Industry,all subsectors,3052,1848,1263,1387,886,336,3428,105,,,,1.037,,
Canada,1998,Industrial Sources,Mineral Products Industry,Clay Products,785,406,272,342,103,7,225,41,,,,,,
