Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Quebec,1990,Industrial Sources,Upstream Petroleum Industry,Crude Oil and Natural Gas Production and Processing,,,,,,,,,,,,,,
Quebec,1990,Industrial Sources,Upstream Petroleum Industry,Petroleum Liquids Storage,,,,,,,,,,,,,,
Quebec,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands In-Situ Extraction and Processing ,,,,,,,,,,,,,,
Quebec,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands Mining Extraction and Processing ,,,,,,,,,,,,,,
Quebec,1990,Industrial Sources,Upstream Petroleum Industry,Bitumen and Heavy Oil Upgrading ,,,,,,,,,,,,,,
Quebec,1990,Industrial Sources,Downstream Petroleum Industry,all subsectors,609,633,402,8285,3385,25814,640,5,,,23,,,
Quebec,1990,Industrial Sources,Downstream Petroleum Industry,Petroleum Refining,605,629,400,8209,3358,19936,638,5,,,23,,,
Quebec,1990,Industrial Sources,Downstream Petroleum Industry,Refined Petroleum Products Bulk Storage and Distribution,4,4,2,75,27,5878,2,,,,,,,
Quebec,1990,Industrial Sources,Downstream Petroleum Industry,Other Downstream Petroleum Industry,,,,,,,,,,,,,,
Quebec,1990,Industrial Sources,Other Industries,all subsectors,4525,2239,1609,13151,5193,11391,5835,188,,,359,,,
Quebec,1990,Industrial Sources,Other Industries,Metal Fabrication,1279,601,438,2158,389,2964,4364,30,,,6,,,
Quebec,1990,Industrial Sources,Other Industries,Glass Manufacture,407,235,216,625,723,84,28,8,,,3.2,,,
Quebec,1990,Industrial Sources,Other Industries,Vehicle Manufacture ( Engines; Parts; Assembly; Painting) ,10,8,7,43,60,566,18,1,,,,,,
Quebec,1990,Industrial Sources,Other Industries,Electronics,21,18,18,1662,40,132,9,23,,,320.2,,,
