Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Alberta,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands In-Situ Extraction and Processing ,2992,2375,403,6001,13522,3273,11795,82,,,1,,,
Alberta,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands Mining Extraction and Processing ,11,12,12,,1587,1055,131,,,,,,,
Alberta,1990,Industrial Sources,Upstream Petroleum Industry,Bitumen and Heavy Oil Upgrading ,2806,2249,601,146651,42398,25844,19239,,,,2,,,
Alberta,1990,Industrial Sources,Downstream Petroleum Industry,all subsectors,844,793,733,10995,5758,11821,1212,11,,,24,,,
Alberta,1990,Industrial Sources,Downstream Petroleum Industry,Petroleum Refining,844,793,733,10988,5757,6072,1212,11,,,24,,,
Alberta,1990,Industrial Sources,Downstream Petroleum Industry,Refined Petroleum Products Bulk Storage and Distribution,,,,8,,5749,,,,,,,,
Alberta,1990,Industrial Sources,Downstream Petroleum Industry,Other Downstream Petroleum Industry,,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Other Industries,all subsectors,984,866,638,70,7470,4954,4260,248,,,34.7,,,
Alberta,1990,Industrial Sources,Other Industries,Metal Fabrication,67,65,61,18,19,1140,2541,,,,,,,
Alberta,1990,Industrial Sources,Other Industries,Glass Manufacture,75,38,11,1,37,52,306,66,,,0.3,,,
Alberta,1990,Industrial Sources,Other Industries,Vehicle Manufacture ( Engines; Parts; Assembly; Painting) ,1,1,1,,,,,,,,,,,
Alberta,1990,Industrial Sources,Other Industries,Electronics,,,,,,,,,,,0.2,,,
Alberta,1990,Industrial Sources,Other Industries,Plastics Manufacture,1,,,,2,486,2,,,,,,,
Alberta,1990,Industrial Sources,Other Industries,Food Preparation,585,499,253,51,229,2348,147,57,,,,,,
Alberta,1990,Industrial Sources,Other Industries,Textiles ,,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Other Industries,Abrasives Manufacture,,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Other Industries,Bakeries,,,,,,746,,,,,,,,
Alberta,1990,Industrial Sources,Other Industries,Other (Other Industries),256,263,312,,7182,183,1265,125,,,34.2,,,
Alberta,1990,Industrial Sources,Petroleum Product Transportation and Distribution,all subsectors,40,40,40,517,5236,145,2199,1,,,,,,
Alberta,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Transmission,40,40,40,1,5165,138,2104,1,,,,,,
Alberta,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Distribution,,,,516,71,7,94,,,,,,,
Alberta,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Petroleum Product Pipelines,,,,,,,,,,,,,,
Alberta,1990,Industrial Sources,Biofuel Production,all subsectors,,,,,,,,,,,,,,
Alberta,1990,Non-Industrial Sources,Commercial Fuel Combustion,all subsectors,413,412,411,201,4231,228,3396,23,21.8,58.6,10.5,0.007,,0.3
