Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Manitoba,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands In-Situ Extraction and Processing ,,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands Mining Extraction and Processing ,,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Upstream Petroleum Industry,Bitumen and Heavy Oil Upgrading ,,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Downstream Petroleum Industry,all subsectors,,,,,,2365,,,,,,,,
Manitoba,1990,Industrial Sources,Downstream Petroleum Industry,Petroleum Refining,,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Downstream Petroleum Industry,Refined Petroleum Products Bulk Storage and Distribution,,,,,,2365,,,,,,,,
Manitoba,1990,Industrial Sources,Downstream Petroleum Industry,Other Downstream Petroleum Industry,,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Other Industries,all subsectors,245,132,84,138,852,3965,266,16,,,7.1,,,
Manitoba,1990,Industrial Sources,Other Industries,Metal Fabrication,6,4,2,,1,58,,,,,,,,
Manitoba,1990,Industrial Sources,Other Industries,Glass Manufacture,46,11,7,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Other Industries,Vehicle Manufacture ( Engines; Parts; Assembly; Painting) ,54,14,7,114,76,248,37,1,,,,,,
Manitoba,1990,Industrial Sources,Other Industries,Electronics,,,,,,8,,,,,0.1,,,
Manitoba,1990,Industrial Sources,Other Industries,Plastics Manufacture,3,3,2,,1,245,3,,,,,,,
Manitoba,1990,Industrial Sources,Other Industries,Food Preparation,94,58,24,21,144,3248,114,5,,,,,,
Manitoba,1990,Industrial Sources,Other Industries,Textiles ,,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Other Industries,Abrasives Manufacture,,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Other Industries,Bakeries,,,,,,96,1,,,,,,,
Manitoba,1990,Industrial Sources,Other Industries,Other (Other Industries),42,42,41,3,629,63,111,10,,,7,,,
Manitoba,1990,Industrial Sources,Petroleum Product Transportation and Distribution,all subsectors,7,7,7,,998,9,253,,,,,,,
Manitoba,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Transmission,7,7,7,,998,8,253,,,,,,,
Manitoba,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Distribution,,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Petroleum Product Pipelines,,,,,,,,,,,,,,
Manitoba,1990,Industrial Sources,Biofuel Production,all subsectors,,,,,,,,,,,,,,
Manitoba,1990,Non-Industrial Sources,Commercial Fuel Combustion,all subsectors,119,118,117,53,1192,64,969,8,7,13.9,3,0.003,,0.1
Manitoba,1990,Non-Industrial Sources,Electric Power Generation (Utilities),all subsectors,2906,1609,558,2208,1472,5,98,3,,,12.6,,,
Manitoba,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Coal,241,132,52,412,185,1,15,3,,,0.9,,,
Manitoba,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Natural Gas,2655,1468,501,1797,646,4,83,,,,11.3,,,
Manitoba,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Other (EPG),10,10,5,,641,,,,,,0.4,,,
Manitoba,1990,Non-Industrial Sources,Residential Fuel Combustion,all subsectors,104,99,98,118,1280,69,517,12,9.7,16.9,3.2,0.008,,0.1
Manitoba,1990,Non-Industrial Sources,Residential Fuel Wood Combustion,all subsectors,5632,5327,5321,73,510,7213,33016,46,71.8,4,1.1,0.182,,2772.6
