Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
New Brunswick,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands In-Situ Extraction and Processing ,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Upstream Petroleum Industry,Oil Sands Mining Extraction and Processing ,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Upstream Petroleum Industry,Bitumen and Heavy Oil Upgrading ,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Downstream Petroleum Industry,all subsectors,334,281,218,6144,2254,1722,439,4,,,12.9,,,
New Brunswick,1990,Industrial Sources,Downstream Petroleum Industry,Petroleum Refining,334,281,218,6144,2254,348,439,4,,,12.9,,,
New Brunswick,1990,Industrial Sources,Downstream Petroleum Industry,Refined Petroleum Products Bulk Storage and Distribution,,,,,,1374,,,,,,,,
New Brunswick,1990,Industrial Sources,Downstream Petroleum Industry,Other Downstream Petroleum Industry,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Other Industries,all subsectors,170,129,91,1579,456,513,65,3,,,4.3,,,
New Brunswick,1990,Industrial Sources,Other Industries,Metal Fabrication,,,,,,7,,,,,,,,
New Brunswick,1990,Industrial Sources,Other Industries,Glass Manufacture,51,47,41,291,141,4,6,,,,0.4,,,
New Brunswick,1990,Industrial Sources,Other Industries,Vehicle Manufacture ( Engines; Parts; Assembly; Painting) ,4,4,2,82,10,3,1,,,,,,,
New Brunswick,1990,Industrial Sources,Other Industries,Electronics,,,,,,,,,,,0.1,,,
New Brunswick,1990,Industrial Sources,Other Industries,Plastics Manufacture,2,1,1,,,289,,,,,,,,
New Brunswick,1990,Industrial Sources,Other Industries,Food Preparation,80,66,41,1139,186,138,21,3,,,,,,
New Brunswick,1990,Industrial Sources,Other Industries,Textiles ,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Other Industries,Abrasives Manufacture,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Other Industries,Bakeries,,,,,,60,,,,,,,,
New Brunswick,1990,Industrial Sources,Other Industries,Other (Other Industries),34,12,6,67,118,11,37,,,,3.8,,,
New Brunswick,1990,Industrial Sources,Petroleum Product Transportation and Distribution,all subsectors,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Transmission,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Distribution,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Petroleum Product Pipelines,,,,,,,,,,,,,,
New Brunswick,1990,Industrial Sources,Biofuel Production,all subsectors,,,,,,,,,,,,,,
