"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"Ontario","Ontario","1996","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Ontario","Ontario","1996","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Ontario","Ontario","1996","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Ontario","Ontario","1996","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Ontario","Ontario","1996","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","2446","tonnes","935","tonnes","423","tonnes","98","tonnes","212","tonnes","596","tonnes","1205","tonnes","","tonnes","78.6","kg","4","kg","2.6","kg","","gTEQ","","g","3.2","kg",
"Ontario","Ontario","1996","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","15635","tonnes","6496","tonnes","3611","tonnes","17914","tonnes","17996","tonnes","388","tonnes","10758","tonnes","400","tonnes","29","kg","0.3","kg","277.7","kg","","gTEQ","","g","","kg",
"Ontario","Ontario","1996","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","3756","tonnes","2661","tonnes","1639","tonnes","17574","tonnes","16732","tonnes","340","tonnes","9773","tonnes","398","tonnes","","kg","","kg","208.1","kg","","gTEQ","","g","","kg",
"Ontario","Ontario","1996","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","411","tonnes","296","tonnes","251","tonnes","158","tonnes","911","tonnes","1","tonnes","494","tonnes","1","tonnes","","kg","","kg","69.6","kg","","gTEQ","","g","","kg",
"Ontario","Ontario","1996","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","11467","tonnes","3538","tonnes","1721","tonnes","182","tonnes","353","tonnes","48","tonnes","491","tonnes","1","tonnes","29","kg","0.3","kg","","kg","","gTEQ","","g","","kg",
"Ontario","Ontario","1996","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","2757","tonnes","1727","tonnes","1423","tonnes","13136","tonnes","10039","tonnes","18058","tonnes","20471","tonnes","3866","tonnes","","kg","","kg","16.2","kg","","gTEQ","","g","","kg",
