"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","1350","tonnes","466","tonnes","243","tonnes","7583","tonnes","157","tonnes","185","tonnes","44747","tonnes","1","tonnes","","kg","","kg","4.3","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","1350","tonnes","466","tonnes","243","tonnes","7583","tonnes","157","tonnes","185","tonnes","44747","tonnes","1","tonnes","","kg","","kg","4.3","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","476","tonnes","102","tonnes","32","tonnes","98","tonnes","136","tonnes","383","tonnes","305","tonnes","1","tonnes","28.3","kg","1.1","kg","1","kg","","gTEQ","","g","1.1","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","5516","tonnes","1909","tonnes","957","tonnes","267","tonnes","5138","tonnes","98","tonnes","3120","tonnes","","tonnes","11.8","kg","0.2","kg","35.3","kg","0.059","gTEQ","400.986","g","1","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","613","tonnes","294","tonnes","107","tonnes","257","tonnes","4926","tonnes","95","tonnes","3046","tonnes","","tonnes","","kg","","kg","31.5","kg","0.059","gTEQ","400.986","g","1","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","226","tonnes","180","tonnes","136","tonnes","","tonnes","137","tonnes","","tonnes","40","tonnes","","tonnes","","kg","0.1","kg","3.8","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","4677","tonnes","1435","tonnes","715","tonnes","10","tonnes","76","tonnes","3","tonnes","34","tonnes","","tonnes","11.8","kg","0.1","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","1678","tonnes","126","tonnes","67","tonnes","281","tonnes","1995","tonnes","192","tonnes","389","tonnes","9","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Chemical Manufacture","Fabrication de produits chimiques","1590","tonnes","50","tonnes","15","tonnes","277","tonnes","1973","tonnes","44","tonnes","68","tonnes","9","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Paint & Varnish Manufacturing","Fabrication de peintures et vernis","3","tonnes","3","tonnes","1","tonnes","","tonnes","","tonnes","120","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Petrochemical Industry","Industrie pétrochimique","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Plastics & Synthetic Resins Fabrication","Fabrication de plastiques et de résines synthétiques","8","tonnes","8","tonnes","7","tonnes","4","tonnes","20","tonnes","3","tonnes","18","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Fertilizer Production","Production d'engrais","77","tonnes","65","tonnes","44","tonnes","","tonnes","3","tonnes","26","tonnes","302","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Other (Chemical Industries)","Autres (industrie chimique)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","all subsectors","tous les sous-secteurs","94","tonnes","39","tonnes","13","tonnes","16","tonnes","66","tonnes","13","tonnes","78","tonnes","2","tonnes","","kg","","kg","0.6","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","Clay Products","Produits d'argile","29","tonnes","18","tonnes","4","tonnes","14","tonnes","10","tonnes","1","tonnes","32","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","Brick Products","Briques","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","Other Mineral Products","Autres produits minéraux","65","tonnes","21","tonnes","8","tonnes","1","tonnes","56","tonnes","12","tonnes","47","tonnes","2","tonnes","","kg","","kg","0.6","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Foundries","Fonderies","all subsectors","tous les sous-secteurs","226","tonnes","188","tonnes","106","tonnes","3","tonnes","59","tonnes","91","tonnes","497","tonnes","","tonnes","","kg","","kg","0.3","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Foundries","Fonderies","Ferrous Foundries","Métaux ferreux","226","tonnes","188","tonnes","106","tonnes","3","tonnes","59","tonnes","91","tonnes","497","tonnes","","tonnes","","kg","","kg","0.3","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2004","Industrial Sources","Sources industrielles","Foundries","Fonderies","Non-ferrous Foundries","Métaux non ferreux","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
