"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"Alberta","Alberta","2001","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2001","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2001","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2001","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2001","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","13423","tonnes","2566","tonnes","471","tonnes","173","tonnes","220","tonnes","4036","tonnes","629","tonnes","","tonnes","472.1","kg","6.6","kg","7.9","kg","0.003","gTEQ","","g","3.2","kg",
"Alberta","Alberta","2001","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","4806","tonnes","1818","tonnes","956","tonnes","2479","tonnes","4046","tonnes","42","tonnes","1754","tonnes","","tonnes","9.9","kg","0.1","kg","17","kg","0.048","gTEQ","165.87","g","","kg",
"Alberta","Alberta","2001","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","290","tonnes","297","tonnes","152","tonnes","2460","tonnes","3644","tonnes","37","tonnes","1664","tonnes","","tonnes","","kg","","kg","14.4","kg","0.048","gTEQ","165.87","g","","kg",
"Alberta","Alberta","2001","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","618","tonnes","319","tonnes","219","tonnes","20","tonnes","402","tonnes","5","tonnes","90","tonnes","","tonnes","","kg","","kg","2.6","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2001","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","3899","tonnes","1203","tonnes","585","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","9.9","kg","0.1","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2001","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","4382","tonnes","3980","tonnes","2025","tonnes","5577","tonnes","25618","tonnes","9416","tonnes","6143","tonnes","6072","tonnes","","kg","","kg","","kg","0.017","gTEQ","696","g","0.6","kg",
