"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","5325","tonnes","4063","tonnes","3354","tonnes","51286","tonnes","1024","tonnes","702","tonnes","345811","tonnes","","tonnes","","kg","","kg","17.1","kg","","gTEQ","","g","157.8","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","139","tonnes","52","tonnes","46","tonnes","25","tonnes","265","tonnes","26","tonnes","399","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","5186","tonnes","4011","tonnes","3308","tonnes","51261","tonnes","759","tonnes","676","tonnes","345412","tonnes","","tonnes","","kg","","kg","17.1","kg","","gTEQ","","g","157.8","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","9086","tonnes","1737","tonnes","319","tonnes","149","tonnes","213","tonnes","357","tonnes","847","tonnes","","tonnes","106.5","kg","2.7","kg","2.4","kg","","gTEQ","","g","2.2","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","10128","tonnes","3213","tonnes","1511","tonnes","7026","tonnes","6600","tonnes","179","tonnes","3867","tonnes","37","tonnes","177.6","kg","4.3","kg","24","kg","1.625","gTEQ","33.695","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","679","tonnes","228","tonnes","90","tonnes","5586","tonnes","5475","tonnes","85","tonnes","1566","tonnes","9","tonnes","150.4","kg","4.1","kg","24","kg","1.625","gTEQ","33.695","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","326","tonnes","170","tonnes","52","tonnes","1440","tonnes","1124","tonnes","25","tonnes","2301","tonnes","27","tonnes","4.1","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","9123","tonnes","2815","tonnes","1369","tonnes","","tonnes","1","tonnes","69","tonnes","1","tonnes","","tonnes","23.1","kg","0.2","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","216","tonnes","152","tonnes","109","tonnes","1173","tonnes","510","tonnes","1271","tonnes","578","tonnes","22","tonnes","0.1","kg","","kg","","kg","0.269","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Chemical Manufacture","Fabrication de produits chimiques","185","tonnes","128","tonnes","92","tonnes","1059","tonnes","279","tonnes","680","tonnes","352","tonnes","12","tonnes","0.1","kg","","kg","","kg","0.269","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Paint & Varnish Manufacturing","Fabrication de peintures et vernis","3","tonnes","3","tonnes","3","tonnes","","tonnes","","tonnes","60","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Petrochemical Industry","Industrie pétrochimique","5","tonnes","5","tonnes","4","tonnes","112","tonnes","230","tonnes","119","tonnes","104","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Plastics & Synthetic Resins Fabrication","Fabrication de plastiques et de résines synthétiques","","tonnes","","tonnes","","tonnes","2","tonnes","2","tonnes","198","tonnes","22","tonnes","10","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Fertilizer Production","Production d'engrais","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Other (Chemical Industries)","Autres (industrie chimique)","23","tonnes","17","tonnes","10","tonnes","","tonnes","","tonnes","214","tonnes","100","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","all subsectors","tous les sous-secteurs","46","tonnes","36","tonnes","26","tonnes","279","tonnes","47","tonnes","2","tonnes","65","tonnes","248","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","Clay Products","Produits d'argile","10","tonnes","8","tonnes","2","tonnes","279","tonnes","","tonnes","2","tonnes","25","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","Brick Products","Briques","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","Other Mineral Products","Autres produits minéraux","36","tonnes","28","tonnes","24","tonnes","","tonnes","47","tonnes","","tonnes","40","tonnes","248","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Foundries","Fonderies","all subsectors","tous les sous-secteurs","1549","tonnes","1430","tonnes","1184","tonnes","21","tonnes","54","tonnes","224","tonnes","8585","tonnes","","tonnes","72","kg","1.6","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Foundries","Fonderies","Ferrous Foundries","Métaux ferreux","1549","tonnes","1430","tonnes","1184","tonnes","21","tonnes","54","tonnes","224","tonnes","8585","tonnes","","tonnes","63.7","kg","1.6","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Foundries","Fonderies","Non-ferrous Foundries","Métaux non ferreux","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","8.3","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Foundries","Fonderies","Die Casting","Moulage sous pression","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Grain Industries","Industrie céréalière","all subsectors","tous les sous-secteurs","3314","tonnes","1553","tonnes","263","tonnes","","tonnes","48","tonnes","149","tonnes","21","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Iron and Steel Industries","Sidérurgie","all subsectors","tous les sous-secteurs","2391","tonnes","1531","tonnes","930","tonnes","10702","tonnes","2644","tonnes","306","tonnes","5794","tonnes","12","tonnes","3145.6","kg","203.4","kg","96.5","kg","0.944","gTEQ","90.21","g","12","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Iron and Steel Industries","Sidérurgie","Primary (Blast furnace and DRI)","Primaire (haut fourneau et réduction directe du fer)","2244","tonnes","1469","tonnes","876","tonnes","10025","tonnes","2037","tonnes","","tonnes","5714","tonnes","","tonnes","3131.7","kg","203.4","kg","93.8","kg","0.944","gTEQ","90.21","g","12","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Iron and Steel Industries","Sidérurgie","Secondary (Electric Arc Furnaces)","Secondaire (four à arc électrique)","147","tonnes","62","tonnes","54","tonnes","678","tonnes","607","tonnes","306","tonnes","80","tonnes","12","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Iron and Steel Industries","Sidérurgie","Steel Recycling","Recyclage d'acier","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","14","kg","","kg","2.6","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Iron and Steel Industries","Sidérurgie","Other (Iron and Steel Industries)","Autres (sidérurgies)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Iron Ore Mining Industry","Industrie des minerais de fer","all subsectors","tous les sous-secteurs","1450","tonnes","849","tonnes","385","tonnes","5176","tonnes","7121","tonnes","299","tonnes","14696","tonnes","","tonnes","712.5","kg","18.2","kg","49.8","kg","","gTEQ","","g","10.1","kg",
"Quebec","Québec","2014","Industrial Sources","Sources industrielles","Iron Ore Mining Industry","Industrie des minerais de fer","Iron Ore Mining Industry","Industrie minière de minerai de fer","848","tonnes","434","tonnes","111","tonnes","375","tonnes","1044","tonnes","","tonnes","3147","tonnes","","tonnes","39.4","kg","4.5","kg","0.1","kg","","gTEQ","","g","","kg",
