"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"Alberta","Alberta","2004","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2004","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2004","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2004","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2004","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","10879","tonnes","2080","tonnes","382","tonnes","140","tonnes","179","tonnes","3051","tonnes","510","tonnes","","tonnes","382.6","kg","5.3","kg","6.4","kg","0.002","gTEQ","","g","2.6","kg",
"Alberta","Alberta","2004","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","6459","tonnes","2386","tonnes","1163","tonnes","2440","tonnes","5159","tonnes","37","tonnes","2225","tonnes","","tonnes","15.6","kg","0.3","kg","27.2","kg","0.048","gTEQ","247.79","g","0.7","kg",
"Alberta","Alberta","2004","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","290","tonnes","367","tonnes","128","tonnes","2435","tonnes","4339","tonnes","33","tonnes","2132","tonnes","","tonnes","1.3","kg","","kg","24.8","kg","0.048","gTEQ","247.79","g","0.7","kg",
"Alberta","Alberta","2004","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","541","tonnes","283","tonnes","190","tonnes","6","tonnes","820","tonnes","4","tonnes","93","tonnes","","tonnes","0.1","kg","0.1","kg","2.4","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2004","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","5628","tonnes","1736","tonnes","845","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","14.2","kg","0.1","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2004","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","4167","tonnes","3739","tonnes","2033","tonnes","6846","tonnes","21677","tonnes","8065","tonnes","5543","tonnes","6992","tonnes","","kg","","kg","","kg","0.014","gTEQ","381.8","g","0.8","kg",
