"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"Alberta","Alberta","1999","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","1999","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","1999","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","1999","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","1999","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","13445","tonnes","2570","tonnes","471","tonnes","173","tonnes","221","tonnes","2356","tonnes","630","tonnes","","tonnes","472.8","kg","6.6","kg","7.9","kg","0.003","gTEQ","","g","3.2","kg",
"Alberta","Alberta","1999","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","4760","tonnes","1702","tonnes","856","tonnes","3025","tonnes","7862","tonnes","44","tonnes","1499","tonnes","","tonnes","9.2","kg","0.1","kg","32","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","1999","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","419","tonnes","293","tonnes","135","tonnes","3015","tonnes","7120","tonnes","37","tonnes","1387","tonnes","","tonnes","","kg","","kg","22.3","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","1999","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","688","tonnes","282","tonnes","173","tonnes","11","tonnes","742","tonnes","7","tonnes","113","tonnes","","tonnes","","kg","","kg","9.7","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","1999","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","3654","tonnes","1127","tonnes","548","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","9.2","kg","0.1","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","1999","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","4388","tonnes","3848","tonnes","2008","tonnes","5953","tonnes","28025","tonnes","9435","tonnes","6942","tonnes","6548","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
