"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","11442","tonnes","2187","tonnes","401","tonnes","177","tonnes","188","tonnes","1497","tonnes","537","tonnes","","tonnes","402.4","kg","5.6","kg","6.7","kg","0.002","gTEQ","","g","2.7","kg",
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","8050","tonnes","2765","tonnes","1341","tonnes","1607","tonnes","5556","tonnes","25","tonnes","1702","tonnes","","tonnes","30.3","kg","3.4","kg","52","kg","0.132","gTEQ","10.893","g","1.4","kg",
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","740","tonnes","466","tonnes","207","tonnes","1593","tonnes","5141","tonnes","15","tonnes","1531","tonnes","","tonnes","12.1","kg","3.3","kg","47.6","kg","0.132","gTEQ","10.893","g","1.4","kg",
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","97","tonnes","74","tonnes","52","tonnes","","tonnes","401","tonnes","","tonnes","50","tonnes","","tonnes","","kg","","kg","4.4","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","7213","tonnes","2225","tonnes","1082","tonnes","14","tonnes","14","tonnes","10","tonnes","120","tonnes","","tonnes","18.2","kg","0.2","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","2265","tonnes","1692","tonnes","678","tonnes","6776","tonnes","14784","tonnes","2791","tonnes","5860","tonnes","6597","tonnes","1.4","kg","3","kg","7.7","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Chemical Manufacture","Fabrication de produits chimiques","589","tonnes","345","tonnes","276","tonnes","5091","tonnes","4034","tonnes","540","tonnes","1865","tonnes","","tonnes","","kg","","kg","7.7","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Paint & Varnish Manufacturing","Fabrication de peintures et vernis","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Petrochemical Industry","Industrie pétrochimique","772","tonnes","771","tonnes","74","tonnes","43","tonnes","2840","tonnes","545","tonnes","1039","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Plastics & Synthetic Resins Fabrication","Fabrication de plastiques et de résines synthétiques","15","tonnes","15","tonnes","15","tonnes","","tonnes","221","tonnes","900","tonnes","187","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Alberta","Alberta","2012","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Fertilizer Production","Production d'engrais","876","tonnes","556","tonnes","307","tonnes","1642","tonnes","7689","tonnes","781","tonnes","2531","tonnes","6597","tonnes","1.4","kg","3","kg","","kg","","gTEQ","","g","","kg",
