"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","9541","tonnes","6002","tonnes","4742","tonnes","59123","tonnes","1260","tonnes","1455","tonnes","389028","tonnes","","tonnes","","kg","","kg","23.9","kg","1.038","gTEQ","","g","26848.4","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","139","tonnes","58","tonnes","43","tonnes","1028","tonnes","576","tonnes","20","tonnes","305","tonnes","","tonnes","","kg","","kg","3.3","kg","","gTEQ","","g","","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","9362","tonnes","5906","tonnes","4662","tonnes","58095","tonnes","684","tonnes","1435","tonnes","388723","tonnes","","tonnes","","kg","","kg","20.6","kg","","gTEQ","","g","26848.4","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","40","tonnes","38","tonnes","37","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","1.038","gTEQ","","g","","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","43777","tonnes","8642","tonnes","1678","tonnes","819","tonnes","1213","tonnes","4875","tonnes","4534","tonnes","","tonnes","1225.2","kg","24.5","kg","22.9","kg","0.006","gTEQ","","g","14.8","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","41245","tonnes","13904","tonnes","6773","tonnes","24577","tonnes","31313","tonnes","263","tonnes","11876","tonnes","237","tonnes","532.5","kg","18.7","kg","297.3","kg","0.758","gTEQ","469.543","g","0.3","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","2701","tonnes","1684","tonnes","798","tonnes","20224","tonnes","26465","tonnes","222","tonnes","9406","tonnes","224","tonnes","438.2","kg","17.6","kg","263.1","kg","0.758","gTEQ","469.543","g","0.3","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","1570","tonnes","812","tonnes","427","tonnes","4273","tonnes","4653","tonnes","","tonnes","2208","tonnes","13","tonnes","0.8","kg","0.2","kg","34.2","kg","","gTEQ","","g","","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","36974","tonnes","11408","tonnes","5549","tonnes","80","tonnes","195","tonnes","41","tonnes","263","tonnes","","tonnes","93.5","kg","0.9","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","4260","tonnes","3120","tonnes","1583","tonnes","18901","tonnes","23165","tonnes","11640","tonnes","13572","tonnes","10126","tonnes","1613.7","kg","3.3","kg","15.3","kg","0.239","gTEQ","0.173","g","27.7","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Chemical Manufacture","Fabrication de produits chimiques","1495","tonnes","1159","tonnes","828","tonnes","16547","tonnes","9586","tonnes","4957","tonnes","7155","tonnes","148","tonnes","0.9","kg","0.1","kg","14.9","kg","0.239","gTEQ","","g","27.3","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Paint & Varnish Manufacturing","Fabrication de peintures et vernis","21","tonnes","20","tonnes","14","tonnes","","tonnes","5","tonnes","937","tonnes","3","tonnes","1","tonnes","1604.8","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Petrochemical Industry","Industrie pétrochimique","906","tonnes","896","tonnes","163","tonnes","234","tonnes","3722","tonnes","1571","tonnes","1770","tonnes","","tonnes","7.9","kg","3.1","kg","0.4","kg","","gTEQ","","g","0.4","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Plastics & Synthetic Resins Fabrication","Fabrication de plastiques et de résines synthétiques","123","tonnes","104","tonnes","86","tonnes","31","tonnes","645","tonnes","3051","tonnes","567","tonnes","24","tonnes","","kg","","kg","","kg","","gTEQ","0.173","g","","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Fertilizer Production","Production d'engrais","1614","tonnes","883","tonnes","443","tonnes","2042","tonnes","9123","tonnes","664","tonnes","4028","tonnes","9943","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Other (Chemical Industries)","Autres (industrie chimique)","101","tonnes","58","tonnes","49","tonnes","48","tonnes","85","tonnes","461","tonnes","50","tonnes","10","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","all subsectors","tous les sous-secteurs","1287","tonnes","1008","tonnes","795","tonnes","1506","tonnes","457","tonnes","194","tonnes","3395","tonnes","203","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","Clay Products","Produits d'argile","68","tonnes","51","tonnes","18","tonnes","458","tonnes","","tonnes","23","tonnes","70","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","Brick Products","Briques","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Mineral Products Industry","Industrie des produits minéraux","Other Mineral Products","Autres produits minéraux","1220","tonnes","957","tonnes","777","tonnes","1048","tonnes","457","tonnes","171","tonnes","3325","tonnes","203","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"Canada","Canada","2009","Industrial Sources","Sources industrielles","Foundries","Fonderies","all subsectors","tous les sous-secteurs","6359","tonnes","5965","tonnes","5420","tonnes","50","tonnes","151","tonnes","398","tonnes","51204","tonnes","","tonnes","681.2","kg","0.1","kg","","kg","","gTEQ","","g","","kg",
