"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"British Columbia","Colombie-Britannique","2012","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","1205","tonnes","441","tonnes","281","tonnes","6321","tonnes","288","tonnes","80","tonnes","44329","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","11488.7","kg",
"British Columbia","Colombie-Britannique","2012","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2012","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","1205","tonnes","441","tonnes","281","tonnes","6321","tonnes","288","tonnes","80","tonnes","44329","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","11488.7","kg",
"British Columbia","Colombie-Britannique","2012","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2012","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","78","tonnes","63","tonnes","19","tonnes","33","tonnes","56","tonnes","224","tonnes","155","tonnes","","tonnes","19.2","kg","0.8","kg","0.7","kg","","gTEQ","","g","0.8","kg",
"British Columbia","Colombie-Britannique","2012","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","4883","tonnes","1728","tonnes","816","tonnes","290","tonnes","4918","tonnes","91","tonnes","2198","tonnes","","tonnes","22.1","kg","0.8","kg","76.2","kg","0.028","gTEQ","52.955","g","","kg",
"British Columbia","Colombie-Britannique","2012","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","461","tonnes","317","tonnes","125","tonnes","283","tonnes","4562","tonnes","90","tonnes","2117","tonnes","","tonnes","11.3","kg","0.7","kg","76.2","kg","0.028","gTEQ","52.955","g","","kg",
"British Columbia","Colombie-Britannique","2012","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","139","tonnes","89","tonnes","48","tonnes","7","tonnes","339","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2012","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","4283","tonnes","1322","tonnes","643","tonnes","","tonnes","16","tonnes","1","tonnes","81","tonnes","","tonnes","10.8","kg","0.1","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2012","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","11","tonnes","7","tonnes","5","tonnes","107","tonnes","30","tonnes","447","tonnes","28","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
