"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"British Columbia","Colombie-Britannique","2010","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","1121","tonnes","383","tonnes","227","tonnes","5489","tonnes","287","tonnes","81","tonnes","49036","tonnes","","tonnes","","kg","","kg","3.7","kg","","gTEQ","","g","8320.5","kg",
"British Columbia","Colombie-Britannique","2010","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2010","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","1121","tonnes","383","tonnes","227","tonnes","5489","tonnes","287","tonnes","81","tonnes","49036","tonnes","","tonnes","","kg","","kg","3.7","kg","","gTEQ","","g","8320.5","kg",
"British Columbia","Colombie-Britannique","2010","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2010","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","99","tonnes","80","tonnes","24","tonnes","42","tonnes","71","tonnes","286","tonnes","198","tonnes","","tonnes","24.5","kg","1","kg","0.9","kg","","gTEQ","","g","1","kg",
"British Columbia","Colombie-Britannique","2010","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","5003","tonnes","1778","tonnes","863","tonnes","342","tonnes","4507","tonnes","80","tonnes","2071","tonnes","","tonnes","27.2","kg","2","kg","83.1","kg","0.015","gTEQ","40.401","g","","kg",
"British Columbia","Colombie-Britannique","2010","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","402","tonnes","273","tonnes","112","tonnes","308","tonnes","3830","tonnes","80","tonnes","2007","tonnes","","tonnes","14.3","kg","1.9","kg","80.2","kg","0.015","gTEQ","40.401","g","","kg",
"British Columbia","Colombie-Britannique","2010","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","225","tonnes","154","tonnes","94","tonnes","34","tonnes","674","tonnes","","tonnes","","tonnes","","tonnes","1.8","kg","","kg","3","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2010","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","4377","tonnes","1351","tonnes","657","tonnes","","tonnes","3","tonnes","","tonnes","63","tonnes","","tonnes","11.1","kg","0.1","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","2010","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","6","tonnes","6","tonnes","4","tonnes","83","tonnes","51","tonnes","224","tonnes","15","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
