"Region-EN","Région-FR","Year-Année","Source-EN","Source-FR","Sector-EN","Secteur-FR","Sub-sector-EN","Sous-secteur-FR","TPM-MPT","TPM-Units-MPT-Unités","PM10-PM10","PM10-Units-PM10-Unités","PM2.5-PM2.5","PM2.5-Units-PM2.5-Unités","SOX-SOX","SOX-Units-SOX-Unités","NOX-NOX","NOX-Units-NOX-Unités","VOC-COV","VOC-Units-COV-Unités","CO-CO","CO-Units-CO-Unités","NH3-NH3","NH3-Units-NH3-Unités","Pb-Pb","Pb-Units-Pb-Unités","Cd-Cd","Cd-Units-Cd-Unités","Hg-Hg","Hg-Units-Hg-Unités","D/F-D/F","D/F-Units-D/F-Unités","HCB-HCB","HCB-Units-HCB-Unités","PAH-HAP","PAH-Units-HAP-Unités"
"British Columbia","Colombie-Britannique","1995","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","all subsectors","tous les sous-secteurs","2522","tonnes","2117","tonnes","1728","tonnes","1713","tonnes","89","tonnes","6","tonnes","21","tonnes","","tonnes","","kg","","kg","3.7","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1995","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Alumina (Bauxite Refining)","Alumine (raffinage de bauxite)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1995","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Primary Aluminum Smelting & Refining","Fusion primaire et raffinage de l'aluminium","2522","tonnes","2117","tonnes","1728","tonnes","1713","tonnes","89","tonnes","6","tonnes","21","tonnes","","tonnes","","kg","","kg","3.7","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1995","Industrial Sources","Sources industrielles","Aluminum Industry","Industrie de l'aluminium","Secondary Aluminum (Includes Recycling)","Alumineries secondaires (incluant le recyclage)","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1995","Industrial Sources","Sources industrielles","Asphalt Paving Industry","Industrie des revêtements bitumineux","all subsectors","tous les sous-secteurs","1815","tonnes","330","tonnes","82","tonnes","455","tonnes","570","tonnes","635","tonnes","290","tonnes","","tonnes","29.1","kg","1.2","kg","1","kg","","gTEQ","","g","1.2","kg",
"British Columbia","Colombie-Britannique","1995","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","all subsectors","tous les sous-secteurs","6439","tonnes","2209","tonnes","1067","tonnes","1114","tonnes","5991","tonnes","114","tonnes","622","tonnes","1","tonnes","12.7","kg","0.1","kg","39.6","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1995","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Cement Manufacture","Fabrication du ciment","1160","tonnes","615","tonnes","252","tonnes","1110","tonnes","5754","tonnes","103","tonnes","547","tonnes","","tonnes","","kg","","kg","23.5","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1995","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Lime Manufacture","Fabrication de la chaux","202","tonnes","45","tonnes","23","tonnes","2","tonnes","180","tonnes","10","tonnes","51","tonnes","1","tonnes","","kg","","kg","16.1","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1995","Industrial Sources","Sources industrielles","Cement and Concrete Industry","Industrie du ciment et du béton","Concrete Batching & Products","Mélange de béton et produits","5077","tonnes","1549","tonnes","793","tonnes","3","tonnes","56","tonnes","1","tonnes","25","tonnes","","tonnes","12.7","kg","0.1","kg","","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1995","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","all subsectors","tous les sous-secteurs","842","tonnes","182","tonnes","177","tonnes","329","tonnes","691","tonnes","281","tonnes","399","tonnes","31","tonnes","","kg","","kg","20","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1995","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Chemical Manufacture","Fabrication de produits chimiques","758","tonnes","107","tonnes","107","tonnes","325","tonnes","668","tonnes","35","tonnes","121","tonnes","31","tonnes","","kg","","kg","20","kg","","gTEQ","","g","","kg",
"British Columbia","Colombie-Britannique","1995","Industrial Sources","Sources industrielles","Chemicals Industry","Industrie chimique","Paint & Varnish Manufacturing","Fabrication de peintures et vernis","15","tonnes","6","tonnes","2","tonnes","","tonnes","","tonnes","214","tonnes","","tonnes","","tonnes","","kg","","kg","","kg","","gTEQ","","g","","kg",
